content_url,term,engagement rate,content_type,content_id
https://giphy.com/gifs/njz9uAMxHocPUZ3rVY,persistence,0.00,GIF,njz9uAMxHocPUZ3rVY
https://giphy.com/gifs/6aJQuulK7m9Zaoz40L,branding,0.00,GIF,6aJQuulK7m9Zaoz40L
https://giphy.com/gifs/klgSykRa1XWpzfUo6c,cannabis,0.21,GIF,klgSykRa1XWpzfUo6c
https://giphy.com/gifs/xpGxI2ZxzsiGTiarAg,develop,0.00,GIF,xpGxI2ZxzsiGTiarAg
https://giphy.com/gifs/rtCZKy6OxLpKGO7DBz,pr,0.00,GIF,rtCZKy6OxLpKGO7DBz
https://giphy.com/gifs/PhhtBQgWmBcPYyhKjE,flic,0.00,GIF,PhhtBQgWmBcPYyhKjE
https://giphy.com/gifs/rYUqar1Ec8xUxeIuJi,source,0.00,GIF,rYUqar1Ec8xUxeIuJi
https://giphy.com/gifs/6iBxNUvZrKMtrsw55L,tray,0.49,GIF,6iBxNUvZrKMtrsw55L
https://giphy.com/gifs/6iBxNUvZrKMtrsw55L,blunt,0.00,GIF,6iBxNUvZrKMtrsw55L
https://giphy.com/gifs/6iBxNUvZrKMtrsw55L,cigars,0.00,GIF,6iBxNUvZrKMtrsw55L
https://giphy.com/gifs/6iBxNUvZrKMtrsw55L,cannabis,0.00,GIF,6iBxNUvZrKMtrsw55L
https://giphy.com/gifs/uiwVDRjFKJEN0TRnJg,process,0.00,GIF,uiwVDRjFKJEN0TRnJg
https://giphy.com/gifs/uiwVDRjFKJEN0TRnJg,development,0.00,GIF,uiwVDRjFKJEN0TRnJg
https://giphy.com/gifs/853p3JhxWvtX0xQhRn,nicotine,0.39,GIF,853p3JhxWvtX0xQhRn
https://giphy.com/gifs/853p3JhxWvtX0xQhRn,puff,0.30,GIF,853p3JhxWvtX0xQhRn
https://giphy.com/gifs/853p3JhxWvtX0xQhRn,vaping,0.00,GIF,853p3JhxWvtX0xQhRn
https://giphy.com/gifs/Ky5ZGWVXYGz6ZmodKO,zona,0.87,GIF,Ky5ZGWVXYGz6ZmodKO
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,online studio,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,persist ventures,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,persistent values,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,ppc campaign,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,uiux design,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,venturing forward,100.00,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,content writing,99.75,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,ventures,99.75,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,e commerce,94.29,GIF,3bXSswmHBH2xXVpDgn
